Model;File;Prefix (h);Encoding;RMSE_Before_CV_s;CV_RMSE_Scores_s;CV_RMSE_Mean_s;CV_RMSE_Std_s;CV_RMSE_Mean_m;CV_RMSE_Std_m;Best_Parameters
RFR;EVENT-LOG_ED_duration_prefix_1h_B.csv;1;B;9348.119370794462;[14871.899266771807, 8549.274011551677, 11299.090962350567, 9328.960333639896, 19585.623299611907];12726.96957478517;4066.455425907512;212.11615957975283;67.77425709845853;{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}
RFR;EVENT-LOG_ED_duration_prefix_1h_F.csv;1;F;9398.563339004364;[17434.842728099396, 9559.261401984762, 12561.032550357622, 10461.290127622926, 21515.179611854608];14306.321283983863;4519.295513639188;238.43868806639773;75.32159189398648;{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}
RFR;EVENT-LOG_ED_duration_prefix_1h_I.csv;1;I;8961.327457266578;[15572.41456061832, 8798.94037247007, 11372.418619527474, 9480.049488380862, 20391.55949460641];13123.076507120626;4332.775185705642;218.71794178534375;72.2129197617607;{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}
RFR;EVENT-LOG_ED_duration_prefix_2h_B.csv;2;B;7756.534317208709;[13915.262560869643, 8354.464148491124, 11598.15456664792, 11863.279457400233, 16297.617939317657];12405.755734545315;2637.599892043639;206.76259557575526;43.95999820072732;{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}
RFR;EVENT-LOG_ED_duration_prefix_2h_F.csv;2;F;7949.259192772127;[17697.830474767918, 9967.428412068, 12713.7052095604, 11970.028912341908, 18465.63673306769];14162.925948361182;3332.2697323306556;236.0487658060197;55.53782887217759;{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}
RFR;EVENT-LOG_ED_duration_prefix_2h_I.csv;2;I;7955.130282936192;[15017.22849977906, 8722.841523496543, 11175.497696784081, 11597.604519927494, 17352.521091265684];12773.138666250572;3044.5336824076694;212.88564443750954;50.74222804012782;{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}
RFR;EVENT-LOG_ED_duration_prefix_3h_B.csv;3;B;9102.332890754029;[14075.74679537459, 7739.169737917878, 11607.053915609571, 11226.542354685731, 16523.506526649806];12234.403866047516;2946.3003264999597;203.90673110079194;49.105005441665995;{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}
RFR;EVENT-LOG_ED_duration_prefix_3h_F.csv;3;F;9715.6853924881;[17420.077238525508, 9621.853709739818, 13609.5994753478, 12720.775715187403, 18323.911630863644];14339.243553932834;3186.681704971341;238.98739256554725;53.111361749522345;{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}
RFR;EVENT-LOG_ED_duration_prefix_3h_I.csv;3;I;9800.186019206816;[15424.92465665609, 8309.64143131666, 11795.094103483774, 11196.402707377143, 17035.82813635787];12752.378207038308;3116.5946316826635;212.5396367839718;51.943243861377724;{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}
